DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
OSBHRM1K8JQ70372C7PUQ9I1HQ7FCMA4O5NKDTQ018HVIVRTVPQG,QFSFPEMG6LHSOSL0U29F6VMJL1N066MPS3FUTV1UI2K6QBCVPL5G,1,22.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
TDPNQ542FKJFK745QFDM689CI19B6RJL8F9TNT8F49IDOUEUQ60G,QS53QNLSHLD6NSFQ9MQ1K2INODIB9ER4PNU4PJO3RM1Q30E6GEN0,1,83.31,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
TDPNQ542FKJFK745QFDM689CI19B6RJL8F9TNT8F49IDOUEUQ60G,QS53QNLSHLD6NSFQ9MQ1K2INODIB9ER4PNU4PJO3RM1Q30E6GEN0,1,6.87,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
L1LIRF6JKTND6FJDCFFI5SSTAHMK0FBOA6ORERDMDUS5H1GRF1CG,4GDSDG8KKEF3HA0K1NVG16P6A1K7RBLDSJME9HGGM7J278TNCMQ0,1,9.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
L1LIRF6JKTND6FJDCFFI5SSTAHMK0FBOA6ORERDMDUS5H1GRF1CG,4GDSDG8KKEF3HA0K1NVG16P6A1K7RBLDSJME9HGGM7J278TNCMQ0,1,0.82,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
GG153NMBNHRG8ROKIOHA4U6JRCNU9RBUOCMVNNTJG4U6LBH6J860,GCEI6L45C7C3EA7QT01TKRB923MIDE66U9G3UDUJOGKDA4BGG6P0,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
GG153NMBNHRG8ROKIOHA4U6JRCNU9RBUOCMVNNTJG4U6LBH6J860,GCEI6L45C7C3EA7QT01TKRB923MIDE66U9G3UDUJOGKDA4BGG6P0,1,0.25,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
IOAGPNM92LQQQRC8OS64CCIVLIIC8TTK33NS6CT5E6891226MJK0,7P4L43OE55E7JRPHSMNN9H3NO6JISRGVA7RBRCET7QUM8KKPDFU0,1,4.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
IOAGPNM92LQQQRC8OS64CCIVLIIC8TTK33NS6CT5E6891226MJK0,7P4L43OE55E7JRPHSMNN9H3NO6JISRGVA7RBRCET7QUM8KKPDFU0,1,51.29,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
C0NFK690UI5IKQDIGG7G49LDU0SUC0D16UIK4QK66U00QRNSIOVG,UTS5UJCVF2CR267Q8G8UT408L8V0N4NJVOCK3U14VA27IDQ4HU3G,1,1.13,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
C0NFK690UI5IKQDIGG7G49LDU0SUC0D16UIK4QK66U00QRNSIOVG,UTS5UJCVF2CR267Q8G8UT408L8V0N4NJVOCK3U14VA27IDQ4HU3G,1,13.72,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
LCKNBGEV82N47KQ9JIISN7FN5QI995A1JCMUCE15K8KN4EQ77UF0,7SNLRMOFN7964NC11J0EFQ8RV1B96IG2E8GA6AASLVIQBHTCPRS0,1,9.4,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
LCKNBGEV82N47KQ9JIISN7FN5QI995A1JCMUCE15K8KN4EQ77UF0,7SNLRMOFN7964NC11J0EFQ8RV1B96IG2E8GA6AASLVIQBHTCPRS0,1,113.98,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
AJRQ5S1E5ALOB5G7P5JURP7QLTVFNN5SST5FLGPL072A029CTTAG,6N15HK67093PM7TBE815TC05T9DUFN5JPIC023NNICEPH16FM820,1,3.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
AJRQ5S1E5ALOB5G7P5JURP7QLTVFNN5SST5FLGPL072A029CTTAG,6N15HK67093PM7TBE815TC05T9DUFN5JPIC023NNICEPH16FM820,1,39.19,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
Q7MK5RQEMGTPIS7OHEIKVLUN2TTJHASHP0FHLPVAOC8GB7HOOA20,6E1DJE70FDFFR3STJMC9JKAFE94KE7BGJSCUGHHA31C4OR3548Q0,1,7.09,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
Q7MK5RQEMGTPIS7OHEIKVLUN2TTJHASHP0FHLPVAOC8GB7HOOA20,6E1DJE70FDFFR3STJMC9JKAFE94KE7BGJSCUGHHA31C4OR3548Q0,1,85.94,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
AN4TBR4H7T0RCOODJJT3UFQ76KR6CTAD4B545N8TRQAAHAL43FKG,77VUUT0CS0ODPBNR6K11211CAHFKCV52IOE4BRN5M5ABFGLUGMU0,1,105.76,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
AN4TBR4H7T0RCOODJJT3UFQ76KR6CTAD4B545N8TRQAAHAL43FKG,77VUUT0CS0ODPBNR6K11211CAHFKCV52IOE4BRN5M5ABFGLUGMU0,1,8.73,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
GO8GHDPE4P0FGBNFNDQBHFE4TQC9B0G5EN5NG1J2VNBCRCD9BJB0,ERBK2NMJ5T9V87B00AVFBJET034ECHUGT9MDNIG9I3462DDPC620,1,17.69,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
4LF3B714MBIT5SIF92NBEHSQ8SJVLG0IGBTMJUOVQMG9447JDV40,PPCSHC9SLNSOSTAT43EIC8O0GT1H2G679OR2SL805434AGOG0KNG,1,7.59,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
15DH4BAKS09IA1DLDVD99KRFUK0R8T2MLTGLI66G4SBCKAQ4BV40,PQ8F5LTATR2AFJ5SGI0HQV8R69R63RP7128CU9BG2B9GIQNJ0FCG,1,18.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
CQIMGM2LQF3CP649MV61D9CBH314PM1IGOQG69LSAROPFO7C6E2G,S0FPUITOD2GDPUJ9KK8OMAP635G6VID1SGVNE2EFUAL112IPGAFG,1,134.58,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
QAFRUBJIPG2GIHL3IUMRU61Q7I7UH5RDNLFVB6UAUOPIVPTM2PK0,28UUC2O65NHA9ASM1N9S8377U52ESCUE03A4MVN8TJFF2RGB1V90,1,56.85,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
5F8AM0BTGAN35BK249D5ODUMRJ6N515I6VRDOES6NP669UFJ7MGG,DBKCGIO7OFDC5CTKB0029L5N60JEVC77I2VAQ5CE9T4FSUBIVFBG,1,18.12,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
JHLGP8BDVC5QJJ4EV3NLK9K8G2JIAUIGE37U557HE58577K7AKIG,301CMC2201D24KMMVTHG2VU52F09JKQ74TB5DJK50C923CGJIHBG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
JHLGP8BDVC5QJJ4EV3NLK9K8G2JIAUIGE37U557HE58577K7AKIG,301CMC2201D24KMMVTHG2VU52F09JKQ74TB5DJK50C923CGJIHBG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
IT1AAVAKFDVAILS22A0593ENSQ64TPKPNO4SBF5PTQU4GFK3H3NG,JN3D7GQM6833USJR9OO0R1LARGPKTCRE98QG4GM8BIVHI34LF9V0,1,1.23,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
